ds,y
1990-02-01,108.83
1990-03-01,108.83
1990-04-01,108.83
1990-05-01,108.83
1990-06-01,108.83
1990-07-01,108.83
1990-08-01,108.83
1990-09-01,108.83
1990-10-01,108.83
1990-11-01,108.83
1991-01-01,108.83
1991-02-01,108.83
1991-03-01,108.83
1991-04-01,108.83
1991-05-01,108.83
1991-06-01,108.83
1991-07-01,108.83
1991-08-01,108.83
1991-09-01,108.83
1991-10-01,108.83
1991-11-01,108.83
1991-12-01,108.83
1992-01-01,108.83
1992-02-01,108.83
1992-03-01,108.83
1992-04-01,108.83
1992-05-01,108.83
1992-06-01,108.83
1992-07-01,108.83
1992-08-01,108.83
1992-09-01,108.83
1992-10-01,108.83
1992-11-01,108.83
1992-12-01,108.83
1993-01-01,108.83
1993-02-01,108.83
1993-03-01,108.83
1993-04-01,108.83
1993-05-01,108.83
1993-06-01,108.83
1993-07-01,108.83
1993-08-01,108.83
1993-09-01,108.83
1993-10-01,108.83
1993-11-01,108.83
1993-12-01,108.83
1994-01-01,108.83
1994-02-01,108.83
1994-03-01,108.83
1994-04-01,108.83
1994-05-01,108.83
1994-06-01,108.83
1994-07-01,108.83
1994-08-01,108.83
1994-09-01,108.83
1994-11-01,108.83
1994-12-01,108.83
1995-01-01,108.83
1995-02-01,108.83
1995-03-01,108.83
1995-04-01,108.83
1995-05-01,108.83
1995-06-01,108.83
1995-07-01,108.83
1995-08-01,108.83
1995-09-01,108.83
1995-10-01,108.83
1995-11-01,108.83
1995-12-01,108.83
1996-01-01,108.83
1996-02-01,108.83
1996-03-01,108.83
1996-04-01,108.83
1996-05-01,108.83
1996-06-01,108.83
1996-07-01,108.83
1996-08-01,108.83
1996-09-01,108.83
1996-10-01,108.83
1996-11-01,108.83
1996-12-01,108.83
1997-01-01,108.83
1997-02-01,108.83
1997-03-01,108.83
1997-04-01,108.83
1997-05-01,108.83
1997-06-01,108.83
1997-07-01,108.83
1997-08-01,108.83
1997-09-01,108.83
1997-10-01,108.83
1997-11-01,108.83
1997-12-01,108.83
1998-01-01,108.83
1998-02-01,108.83
1998-03-01,108.83
1998-04-01,108.83
1998-05-01,108.83
1998-06-01,108.83
1998-07-01,108.83
1998-08-01,108.83
1998-09-01,108.83
1998-10-01,108.83
1998-11-01,108.83
1998-12-01,108.83
1999-01-01,108.83
1999-02-01,108.83
1999-03-01,108.83
1999-04-01,108.83
1999-05-01,108.83
1999-06-01,108.83
1999-07-01,108.83
1999-08-01,108.83
1999-09-01,108.83
1999-10-01,108.83
1999-11-01,108.83
1999-12-01,108.83
2000-01-01,108.83
2000-02-01,108.83
2000-03-01,108.83
2000-04-01,108.83
2000-05-01,108.83
2000-06-01,108.83
2000-07-01,108.83
2000-08-01,108.83
2000-09-01,108.83
2000-10-01,108.83
2000-11-01,108.83
2000-12-01,108.83
2001-01-01,108.83
2001-02-01,108.83
2001-03-01,108.83
2001-04-01,108.83
2001-05-01,108.83
2001-06-01,108.83
2001-07-01,108.83
2001-08-01,108.83
2001-09-01,108.83
2001-10-01,108.83
2001-11-01,108.83
2001-12-01,108.83
2002-01-01,108.83
2002-02-01,108.83
2002-03-01,108.83
2002-04-01,108.83
2002-05-01,108.83
2002-06-01,108.83
2002-07-01,108.83
2002-08-01,108.83
2002-09-01,108.83
2002-10-01,108.83
2002-11-01,108.83
2002-12-01,108.83
2004-01-03,99.77
2004-01-09,58.0
2004-01-10,44.77
2004-01-11,66.58
2004-01-16,82.77
2004-01-19,76.13
2004-01-23,60.9
2004-01-27,73.85
2004-01-29,28.7
2004-01-30,47.33
2004-02-01,97.0
2004-02-02,52.3
2004-02-04,57.13
2004-02-06,34.3
2004-02-07,57.53
2004-02-08,38.14
2004-02-11,96.07
2004-02-12,137.15
2004-02-13,90.23
2004-02-16,105.33
2004-02-20,86.0
2004-02-23,86.63
2004-02-26,62.3
2004-02-27,88.65
2004-03-02,47.15
2004-03-05,51.33
2004-03-07,32.0
2004-03-09,54.43
2004-03-12,132.35
2004-03-15,78.13
2004-03-18,123.7
2004-03-19,67.35
2004-03-22,93.15
2004-03-23,47.0
2004-03-26,72.1
2004-03-29,55.77
2004-04-10,51.67
2004-04-11,122.92
2004-04-13,72.7
2004-04-16,72.15
2004-04-17,129.0
2004-04-19,95.53
2004-04-23,112.3
2004-04-24,79.0
2004-04-26,78.67
2004-04-30,66.8
