ds,y
2004-01-01,108.83
2004-01-04,108.83
2004-01-06,108.83
2004-01-07,108.83
2004-01-09,108.83
2004-01-10,108.83
2004-01-11,108.83
2004-01-12,108.83
2004-01-13,108.83
2004-01-14,108.83
2004-01-15,108.83
2004-01-19,108.83
2004-01-20,108.83
2004-01-21,108.83
2004-01-22,108.83
2004-01-27,108.83
2004-01-28,108.83
2004-01-29,108.83
2004-02-06,108.83
2004-02-08,108.83
2004-02-09,108.83
2004-02-11,108.83
2004-02-12,108.83
2004-02-16,108.83
2004-02-17,108.83
2004-02-18,108.83
2004-02-19,108.83
2004-02-20,108.83
2004-02-23,108.83
2004-02-24,108.83
2004-02-25,108.83
2004-02-26,108.83
2004-03-02,108.83
2004-03-03,108.83
2004-03-05,108.83
2004-03-06,108.83
2004-03-08,108.83
2004-03-11,108.83
2004-03-12,108.83
2004-03-15,108.83
2004-03-16,108.83
2004-03-17,108.83
2004-03-18,108.83
2004-03-22,108.83
2004-03-23,108.83
2004-03-24,108.83
2004-03-25,108.83
2004-03-29,108.83
2004-03-30,108.83
2004-04-02,108.83
2004-04-03,108.83
2004-04-10,108.83
2004-04-11,108.83
2004-04-12,108.83
2004-04-13,108.83
2004-04-14,108.83
2004-04-15,108.83
2004-04-19,108.83
2004-04-20,108.83
2004-04-21,108.83
2004-04-22,108.83
2004-04-26,108.83
2004-04-27,108.83
2004-04-28,108.83
2004-04-29,108.83
2004-05-01,108.83
2004-05-02,108.83
2004-05-04,108.83
2004-05-05,108.83
2004-05-07,108.83
2004-05-10,108.83
2004-05-13,108.83
2004-05-17,108.83
2004-05-18,108.83
2004-05-19,108.83
2004-05-20,108.83
2004-05-24,108.83
2004-05-25,108.83
2004-05-26,108.83
2004-05-27,108.83
2004-05-30,108.83
2004-06-01,108.83
2004-06-02,108.83
2004-06-04,108.83
2004-06-05,108.83
2004-06-07,108.83
2004-06-08,108.83
2004-06-09,108.83
2004-06-10,108.83
2004-06-12,108.83
2004-06-14,108.83
2004-06-16,108.83
2004-06-17,108.83
2004-06-21,108.83
2004-06-22,108.83
2004-06-23,108.83
2004-06-24,108.83
2004-06-25,108.83
2004-06-28,108.83
2004-06-29,108.83
2004-07-01,108.83
2004-07-04,108.83
2004-07-05,108.83
2004-07-06,108.83
2004-07-07,108.83
2004-07-10,108.83
2004-07-12,108.83
2004-07-13,108.83
2004-07-14,108.83
2004-07-15,108.83
2004-07-19,108.83
2004-07-20,108.83
2004-07-21,108.83
2004-07-22,108.83
2004-07-26,108.83
2004-07-27,108.83
2004-07-28,108.83
2004-08-01,108.83
2004-08-03,108.83
2004-08-06,108.83
2004-08-07,108.83
2004-08-09,108.83
2004-08-11,108.83
2004-08-12,108.83
2004-08-13,108.83
2004-08-16,108.83
2004-08-17,108.83
2004-08-18,108.83
2004-08-19,108.83
2004-08-23,108.83
2004-08-24,108.83
2004-08-25,108.83
2004-08-26,108.83
2004-08-30,108.83
2004-09-02,108.83
2004-09-03,108.83
2004-09-06,108.83
2004-09-08,108.83
2004-09-09,108.83
2004-09-11,108.83
2004-09-12,108.83
2004-09-13,108.83
2004-09-14,108.83
2004-09-15,108.83
2004-09-16,108.83
2004-09-20,108.83
2004-09-21,108.83
2004-09-22,108.83
2004-09-23,108.83
2004-09-24,108.83
2004-09-28,108.83
2004-09-29,108.83
2004-09-30,108.83
2004-10-02,108.83
2004-10-03,108.83
2004-10-05,108.83
2004-10-08,108.83
2004-10-11,108.83
2004-10-12,108.83
2004-10-14,108.83
2004-10-18,108.83
2004-10-19,108.83
2004-10-20,108.83
2004-10-25,108.83
2004-10-26,108.83
2004-10-27,108.83
2004-10-28,108.83
2004-10-29,108.83
2004-11-02,108.83
2004-11-03,108.83
2004-11-05,108.83
2004-11-10,108.83
2004-11-11,108.83
2004-11-12,108.83
2004-11-16,108.83
2004-11-17,108.83
2004-11-18,108.83
2004-11-19,108.83
2004-11-20,108.83
2004-11-23,108.83
2004-11-24,108.83
2004-11-25,108.83
2004-11-26,108.83
2004-11-29,108.83
2004-12-01,108.83
2004-12-02,108.83
2004-12-04,108.83
2004-12-05,108.83
2004-12-07,108.83
2004-12-08,108.83
2004-12-10,108.83
2004-12-11,108.83
2004-12-13,108.83
2004-12-14,108.83
2004-12-15,108.83
2004-12-16,108.83
2004-12-17,108.83
2004-12-18,108.83
2004-12-20,108.83
2004-12-21,108.83
2004-12-22,108.83
2004-12-23,108.83
2004-12-24,108.83
2004-12-25,108.83
2004-12-27,108.83
2004-12-28,108.83
2004-12-29,108.83
2004-12-30,108.83
2004-12-31,108.83
2007-01-02,156.0
2007-01-05,43.0
2007-01-10,48.0
2007-01-15,153.5
2007-01-16,169.0
2007-01-17,198.5
2007-01-18,126.0
2007-01-22,134.0
2007-01-23,170.0
2007-01-24,152.5
2007-01-29,153.0
2007-01-31,159.0
2007-02-01,87.0
2007-02-04,104.5
2007-02-15,77.0
2007-02-19,118.5
2007-02-20,145.0
